                                                movie        year  timeMin  imdb    metascore      votes us_grossMillions
24                                                        Marriage Story      (2019)  137 min   7.9  94            291,719           $2.00M
25                                                       Blazing Saddles      (1974)   93 min   7.7  73            135,828         $119.50M
26                                                             True Grit      (2010)  110 min   7.6  80            332,466         $171.24M
27                                            O Brother, Where Art Thou?      (2000)  107 min   7.7  69            304,994          $45.51M
28                                                              Big Fish      (2003)  125 min   8.0  58            434,537          $66.26M
29                                                           The Sandlot      (1993)  101 min   7.8  55             88,358          $32.42M
30                                                   Remember the Titans      (2000)  113 min   7.8  48            210,636         $115.65M
31                                                         Kung Fu Panda      (2008)   92 min   7.6  74            453,150         $215.43M
32                                                           Toy Story 4      (2019)  100 min   7.7  84            236,043         $434.04M
33                                              The Last of the Mohicans      (1992)  112 min   7.7  76            164,968          $75.51M
34                                                   Million Dollar Baby      (2004)  132 min   8.1  86            672,743         $100.49M
35                                                               Gravity      (2013)   91 min   7.7  96            809,118         $274.09M
36                                                   The Bourne Identity      (2002)  119 min   7.9  68            536,419         $121.66M
37                                                     Captain Fantastic      (2016)  118 min   7.8  72            212,711           $5.88M
38                                                              Downfall      (2004)  156 min   8.2  82            348,989           $5.51M
39                                                         Incredibles 2      (2018)  118 min   7.6  80            282,848         $608.58M
40                                                                Misery      (1990)  107 min   7.8  75            202,121          $61.28M
41                                                    500 Days of Summer      (2009)   95 min   7.7  76            500,683          $32.39M
42                                           The Best Years of Our Lives      (1946)  170 min   8.1  93             62,693          $23.65M
43                                                   Lost in Translation      (2003)  102 min   7.7  89            443,027          $44.59M
44                                                     American Gangster      (2007)  157 min   7.8  76            417,435         $130.16M
45                                   Lock, Stock and Two Smoking Barrels      (1998)  107 min   8.2  66            568,747           $3.90M
46                                    Indiana Jones and the Last Crusade      (1989)  127 min   8.3  65            735,207         $197.17M
47                                                Grave of the Fireflies      (1988)   89 min   8.5  94            264,675              #48
48                                                                Wonder  (I) (2017)  113 min   7.9  66            159,189         $132.42M
49                                                        Before Sunrise      (1995)  101 min   8.1  77            296,828           $5.54M                              movie        year  timeMin  imdb    metascore    votes us_grossMillions
0         Die Hard with a Vengeance      (1995)  128 min   7.6   58          381,330         $100.01M
1                 The King's Speech      (2010)  118 min   8.0   88          668,943         $138.80M
2              Being John Malkovich      (1999)  113 min   7.8   90          329,099          $22.86M
3                          Rain Man      (1988)  133 min   8.0   65          501,185         $178.80M
4                 Road to Perdition      (2002)  117 min   7.7   72          262,578         $104.45M
5                           Ben-Hur      (1959)  212 min   8.1   90          234,182          $74.70M
6                 Princess Mononoke      (1997)  134 min   8.4   76          379,524           $2.38M
7                      The Fugitive      (1993)  130 min   7.8   87          287,253         $183.88M
8                     The Machinist      (2004)  101 min   7.7   61          380,324           $1.08M
9                       The Fighter  (I) (2010)  116 min   7.8   79          358,733          $93.62M
10                Kill Bill: Vol. 2      (2004)  137 min   8.0   83          733,625          $66.21M
11                          The Fly      (1986)   96 min   7.6   79          175,307          $40.46M
12                        Cast Away      (2000)  143 min   7.8   73          573,005         $233.63M
13                             Moon      (2009)   97 min   7.8   67          352,578           $5.01M
14             Beauty and the Beast      (1991)   84 min   8.1   95          439,193         $218.97M
15                        The Sting      (1973)  129 min   8.3   83          256,469         $159.60M
16       The Trial of the Chicago 7      (2020)  129 min   7.8   76          169,606                -
17                         Coraline      (2009)  100 min   7.7   80          217,714          $75.29M
18                     3:10 to Yuma      (2007)  122 min   7.7   76          305,041          $53.61M
19     Once Upon a Time in the West      (1968)  165 min   8.5   80          322,113           $5.32M
20                     The Graduate      (1967)  106 min   8.0   83          268,352         $104.95M
21                        Capernaum      (2018)  126 min   8.4   75           83,571           $1.66M
22  The Girl with the Dragon Tattoo      (2009)  152 min   7.8   76          215,245          $10.10M
23                Y tu mamá también      (2001)  106 min   7.7   88          121,346          $13.62M
24                     Philadelphia      (1993)  125 min   7.7   66          237,375          $77.32M
25                      Toy Story 3      (2010)  103 min   8.3   92          809,501         $415.00M
26               The Little Mermaid      (1989)   83 min   7.6   88          254,479         $111.54M
27            Sense and Sensibility      (1995)  136 min   7.7   84          113,055          $43.18M
28                 The Untouchables      (1987)  119 min   7.9   79          302,000          $76.27M
29                     Seven Pounds      (2008)  123 min   7.6   36          299,057          $69.95M
30                 Eastern Promises      (2007)  100 min   7.6   82          239,161          $17.11M
31                    Walk the Line      (2005)  136 min   7.8   72          246,608         $119.52M
32                      Deliverance      (1972)  109 min   7.7   80          106,316           $7.06M
33                          Aladdin      (1992)   90 min   8.1   86          399,456         $217.35M
34                          Serpico      (1973)  130 min   7.7   87          120,156          $29.80M
35            It's a Wonderful Life      (1946)  130 min   8.7   89          442,785              #21
36                         Serenity      (2005)  119 min   7.8   74          293,214          $25.51M
37        Hunt for the Wilderpeople      (2016)  101 min   7.8   81          126,064           $5.20M
38                      Lord of War      (2005)  122 min   7.6   62          309,655          $24.15M
39                    Seven Samurai      (1954)  207 min   8.7   98          337,566           $0.27M
40                          Boyhood  (I) (2014)  165 min   7.9  100          349,744          $25.38M
41   The Boy in the Striped Pajamas      (2008)   94 min   7.8   55          211,160           $9.03M
42           Straight Outta Compton      (2015)  147 min   7.8   72          196,235         $161.20M
43                       Big Hero 6      (2014)  102 min   7.8   74          445,311         $222.53M
44               As Good as It Gets      (1997)  139 min   7.7   67          293,690         $148.48M
45                     Citizen Kane      (1941)  119 min   8.3  100          432,657           $1.59M
46              The Boondock Saints      (1999)  108 min   7.7   44          236,661           $0.03M
47           The Fault in Our Stars      (2014)  126 min   7.7   69          367,387         $124.87M
48                             Roma      (2018)  135 min   7.7   96          153,879                -
49                       District 9      (2009)  112 min   7.9   81          667,994         $115.65M                                  movie         year  timeMin  imdb    metascore    votes us_grossMillions
0        Crouching Tiger, Hidden Dragon       (2000)  120 min   7.9   94          264,807         $128.08M
1                            Mr. Nobody       (2009)  141 min   7.8   63          229,263           $0.00M
2                           Raging Bull       (1980)  129 min   8.2   89          344,532          $23.38M
3            Back to the Future Part II       (1989)  108 min   7.9   57          515,766         $118.50M
4                           Gran Torino       (2008)  116 min   8.1   72          758,849         $148.10M
5                             In Bruges       (2008)  107 min   7.9   67          412,166           $7.76M
6              The Theory of Everything       (2014)  123 min   7.7   71          438,220          $35.89M
7                   Edward Scissorhands       (1990)  105 min   7.9   74          475,076          $56.36M
8       Monty Python and the Holy Grail       (1975)   91 min   8.2   91          529,359           $1.23M
9                     The Thin Red Line       (1998)  170 min   7.6   78          184,704          $36.40M
10                  The Invisible Guest       (2016)  106 min   8.1            0  169,247                -
11                     Some Like It Hot       (1959)  121 min   8.2   98          261,097          $25.00M
12                       Wreck-It Ralph       (2012)  101 min   7.7   72          409,454         $189.42M
13           Portrait of a Lady on Fire       (2019)  122 min   8.1   95           84,879           $3.76M
14                         The Wrestler       (2008)  109 min   7.9   80          301,508          $26.24M
15                      Boyz n the Hood       (1991)  112 min   7.8   76          137,264          $57.50M
16                    Fantastic Mr. Fox       (2009)   87 min   7.9   83          223,376          $21.00M
17                          Match Point       (2005)  124 min   7.6   72          215,435          $23.09M
18  Demon Slayer the Movie: Mugen Train       (2020)  117 min   8.3   72           51,027          $47.70M
19                           Zombieland       (2009)   88 min   7.6   73          557,599          $75.59M
20                           Life of Pi       (2012)  127 min   7.9   79          614,487         $124.99M
21                           Stagecoach       (1939)   96 min   7.8   93           47,929                -
22                                Naked       (1993)  131 min   7.8   85           38,544           $1.77M
23                          Rear Window       (1954)  112 min   8.5  100          478,489          $36.76M
24                      Minority Report       (2002)  145 min   7.7   80          538,160         $132.07M
25                     Scent of a Woman       (1992)  156 min   8.0   59          287,381          $63.90M
26                            Apollo 13   (I) (1995)  140 min   7.7   77          288,243         $173.84M
27          What's Eating Gilbert Grape       (1993)  118 min   7.8   73          231,053           $9.17M
28                                Mulan       (1998)   88 min   7.6   71          278,109         $120.62M
29                 The Royal Tenenbaums       (2001)  110 min   7.6   76          286,380          $52.36M
30                                 Lion       (2016)  118 min   8.0   69          231,176          $51.74M
31                            Nosferatu       (1922)   94 min   7.9            0   94,888                -
32       Dawn of the Planet of the Apes       (2014)  130 min   7.6   79          432,164         $208.55M
33                          Adaptation.       (2002)  115 min   7.7   83          189,476          $22.25M
34                             Dogville       (2003)  178 min   8.0   60          146,391           $1.53M
35                          Primal Fear       (1996)  129 min   7.7   47          207,294          $56.12M
36                   Planet of the Apes       (1968)  112 min   8.0   79          176,524          $33.40M
37                          The Hustler       (1961)  134 min   8.0   90           80,801           $8.28M
38                      Rosemary's Baby       (1968)  137 min   8.0   96          209,700                -
39                          Toy Story 2       (1999)   92 min   7.9   88          563,405         $245.85M
40                              Vertigo       (1958)  128 min   8.3  100          392,838           $3.20M
41                The Last Picture Show       (1971)  118 min   8.0   93           47,258          $29.13M
42                        Lethal Weapon       (1987)  109 min   7.6   68          252,994          $65.21M
43                              Network       (1976)  121 min   8.1   83          156,309             #221
44                    Dog Day Afternoon       (1975)  125 min   8.0   86          251,416          $50.00M
45                       Gone Baby Gone       (2007)  114 min   7.6   72          268,211          $20.30M
46                          First Blood       (1982)   93 min   7.7   61          245,040          $47.21M
47                        Groundhog Day       (1993)  101 min   8.1   72          611,215          $70.91M
48                   Young Frankenstein       (1974)  106 min   8.0   80          154,981          $86.30M
49                                Creed  (II) (2015)  133 min   7.6   82          266,022         $109.77M                                 movie    year  timeMin  imdb   metascore    votes us_grossMillions
0                         East of Eden  (1955)  118 min   7.8  72           44,785                -
1                The French Connection  (1971)  104 min   7.7  94          120,075          $15.63M
2                  Fiddler on the Roof  (1971)  181 min   8.0  67           42,899          $80.50M
3                     The Road Warrior  (1981)   96 min   7.6  77          176,826          $12.47M
4                           The Others  (2001)  104 min   7.6  74          357,894          $96.52M
5                         Perfect Blue  (1997)   81 min   8.0           0   70,968           $0.78M
6                        Donnie Brasco  (1997)  127 min   7.7  76          298,819          $41.91M
7              Who Framed Roger Rabbit  (1988)  104 min   7.7  83          195,889         $156.45M
8                      Bridge of Spies  (2015)  142 min   7.6  81          305,521          $72.31M
9              Star Trek Into Darkness  (2013)  132 min   7.7  72          478,300         $228.78M
10                           Dark City  (1998)  100 min   7.6  66          197,321          $14.38M
11                             Traffic  (2000)  147 min   7.6  86          205,109         $124.12M
12                           Spartacus  (1960)  197 min   7.9  87          132,697          $30.00M
13                            The Boat  (1981)  149 min   8.4  86          246,173          $11.49M
14                  The Skin I Live In  (2011)  120 min   7.6  70          149,487           $3.19M
15                  The Blues Brothers  (1980)  133 min   7.9  60          194,922          $57.23M
16                     Cinema Paradiso  (1988)  155 min   8.5  80          253,219          $11.99M
17                           The Birds  (1963)  119 min   7.7  90          184,467          $11.40M
18          The World's Fastest Indian  (2005)  127 min   7.8  68           54,281           $5.13M
19                    The Elephant Man  (1980)  124 min   8.2  78          235,971             #156
20                      Doctor Zhivago  (1965)  197 min   8.0  69           75,432         $111.72M
21                        Evil Dead II  (1987)   84 min   7.7  72          159,322           $5.92M
22                       Carlito's Way  (1993)  144 min   7.9  65          213,642          $36.95M
23                        Barry Lyndon  (1975)  185 min   8.1  89          163,218             #196
24                        A Bronx Tale  (1993)  121 min   7.8  80          137,872          $17.27M
25             When Harry Met Sally...  (1989)   95 min   7.7  76          212,142          $92.82M
26                         October Sky  (1999)  108 min   7.8  71           89,144          $32.48M
27                  My Neighbor Totoro  (1988)   86 min   8.2  86          325,054           $1.11M
28                  North by Northwest  (1959)  136 min   8.3  98          320,286          $13.28M
29                           127 Hours  (2010)   94 min   7.6  82          369,721          $18.34M
30                        Sunset Blvd.  (1950)  110 min   8.4           0  216,628              #59
31            The Secret in Their Eyes  (2009)  129 min   8.2  80          205,529           $6.39M
32                In the Mood for Love  (2000)   98 min   8.1  85          143,879           $2.73M
33  Close Encounters of the Third Kind  (1977)  138 min   7.6  90          197,330         $132.09M
34                              Hamlet  (1996)  242 min   7.8           0   37,792           $4.41M
35            A Streetcar Named Desire  (1951)  122 min   8.0  97          106,332           $8.00M
36                The Bourne Ultimatum  (2007)  115 min   8.0  85          625,940         $227.47M
37                    The Conversation  (1974)  113 min   7.8  87          109,227           $4.42M
38     Who's Afraid of Virginia Woolf?  (1966)  131 min   8.0  75           74,136                -
39                     Ordinary People  (1980)  124 min   7.8  86           51,172          $54.80M
40                The Bourne Supremacy  (2004)  108 min   7.7  73          455,749         $176.24M
41                        End of Watch  (2012)  109 min   7.6  68          242,809          $41.00M
42                 Mississippi Burning  (1988)  128 min   7.8  65           98,276          $34.60M
43                    The Great Escape  (1963)  172 min   8.2  86          239,783          $12.10M
44                               Glory  (1989)  122 min   7.8  78          132,779          $26.83M
45                    Captain Phillips  (2013)  134 min   7.8  82          448,737         $107.10M
46                 Hachi: A Dog's Tale  (2009)   93 min   8.1           0  276,141             #225
47                  Do the Right Thing  (1989)  120 min   7.9  93           99,649          $27.55M
48                                   M  (1931)   99 min   8.3           0  154,596           $0.03M
49                     I Saw the Devil  (2010)  144 min   7.8  67          125,225           $0.13M                                 movie        year  timeMin  imdb   metascore    votes us_grossMillions
0                        Life of Brian      (1979)   94 min   8.1  77          391,029          $20.05M
1                     The Great Beauty      (2013)  141 min   7.7  86           88,788           $2.85M
2                 Let the Right One In      (2008)  114 min   7.9  82          214,110           $2.12M
3                          Sing Street      (2016)  106 min   7.9  79           91,826           $3.24M
4                         Isle of Dogs      (2018)  101 min   7.8  82          162,063          $32.02M
5               Breakfast at Tiffany's      (1961)  115 min   7.6  76          176,643                -
6             In the Heat of the Night      (1967)  110 min   8.0  75           74,757          $24.38M
7                    On the Waterfront      (1954)  108 min   8.1  91          152,034           $9.60M
8                          Sling Blade      (1996)  135 min   8.0  84           92,774          $24.48M
9            In the Name of the Father      (1993)  133 min   8.1  84          170,660          $25.01M
10      Rise of the Planet of the Apes      (2011)  105 min   7.6  68          517,968         $176.76M
11                    Bonnie and Clyde      (1967)  111 min   7.8  86          110,687                -
12                     The Illusionist      (2006)  110 min   7.6  68          367,953          $39.87M
13                          Metropolis      (1927)  153 min   8.3  98          170,879           $1.24M
14                                 JFK      (1991)  189 min   8.0  72          152,799          $70.41M
15           A Silent Voice: The Movie      (2016)  130 min   8.1  78           73,865                -
16                          Wild Tales      (2014)  122 min   8.1  77          192,620           $3.11M
17                  The Man from Earth      (2007)   87 min   7.9           0  184,334                -
18                          Changeling      (2008)  141 min   7.8  63          251,782          $35.74M
19                    The Color Purple      (1985)  154 min   7.7  78           84,945          $98.47M
20                              Gandhi      (1982)  191 min   8.1  79          227,022          $52.77M
21                           High Noon      (1952)   85 min   8.0  89          102,813           $9.45M
22                The Raid: Redemption      (2011)  101 min   7.6  73          201,113           $4.11M
23                         The Insider      (1999)  157 min   7.8  84          168,808          $28.97M
24                        Billy Elliot      (2000)  110 min   7.7  74          133,196          $22.00M
25                               Akira      (1988)  124 min   8.0  67          180,061           $0.55M
26                  This Is Spinal Tap      (1984)   82 min   7.9  92          137,543           $4.74M
27                         Dirty Harry      (1971)  102 min   7.7  87          152,965          $35.90M
28                          Goldfinger      (1964)  110 min   7.7  87          186,111          $51.08M
29     Snow White and the Seven Dwarfs      (1937)   83 min   7.6  95          194,532         $184.93M
30                     The Jungle Book      (1967)   78 min   7.6  65          177,812         $141.84M
31                             Stalker      (1979)  162 min   8.1           0  130,807           $0.23M
32                       The Apartment      (1960)  125 min   8.3  94          177,330          $18.60M
33                   Where Eagles Dare      (1968)  158 min   7.6  63           57,261                -
34                Fried Green Tomatoes      (1991)  130 min   7.7  64           73,181          $82.42M
35                              Brazil      (1985)  132 min   7.9  84          198,046           $9.93M
36                             Flipped  (I) (2010)   90 min   7.7  45           88,560           $1.75M
37               The Magnificent Seven      (1960)  128 min   7.7  74           93,466           $4.91M
38  Butch Cassidy and the Sundance Kid      (1969)  110 min   8.0  66          212,602         $102.31M
39                       Before Sunset      (2004)   80 min   8.1  90          255,789           $5.82M
40                            Papillon      (1973)  151 min   8.0  58          128,664          $53.27M
41               It Happened One Night      (1934)  105 min   8.1  87          101,721           $4.36M
42                              Ip Man      (2008)  106 min   8.0  59          220,789                -
43                            La Haine      (1995)   98 min   8.1           0  167,007           $0.31M
44                   Chungking Express      (1994)  102 min   8.0  78           76,632           $0.60M
45                     Before Midnight      (2013)  109 min   7.9  94          153,366           $8.11M
46                        A Separation      (2011)  123 min   8.3  95          240,268           $7.10M
47                          Annie Hall      (1977)   93 min   8.0  92          262,003          $39.20M
48                   The Holy Mountain      (1973)  114 min   7.8  76           41,754           $0.06M
49              For a Few Dollars More      (1965)  132 min   8.3  74          250,393          $15.00M                                             movie        year  timeMin  imdb   metascore    votes us_grossMillions
0                                  This Is England      (2006)  101 min   7.7  86          120,932           $0.33M
1                              Lucky Number Slevin      (2006)  110 min   7.7  53          309,778          $22.49M
2                             A Fistful of Dollars      (1964)   99 min   7.9  65          212,403          $14.50M
3                                     My Fair Lady      (1964)  170 min   7.8  95           93,834          $72.00M
4                     Batman: Mask of the Phantasm      (1993)   76 min   7.8           0   49,321           $5.62M
5                                 Enter the Dragon      (1973)  102 min   7.6  83          102,900          $25.00M
6                               The Killing Fields      (1984)  141 min   7.8  76           54,915          $34.70M
7                                         Rushmore      (1998)   93 min   7.6  86          182,175          $17.11M
8                                 The Seventh Seal      (1957)   96 min   8.1  88          180,939             #199
9                               Ghost in the Shell      (1995)   83 min   7.9  76          139,593           $0.52M
10                              The King of Comedy      (1982)  109 min   7.8  73          100,118           $2.50M
11                                       Stalag 17      (1953)  120 min   8.0  84           55,165                -
12                            The Name of the Rose      (1986)  130 min   7.7  54          107,237           $7.15M
13                                        I Am Sam      (2001)  132 min   7.6  28          148,831          $40.31M
14                                  Kung Fu Hustle      (2004)   99 min   7.7  78          136,237          $17.11M
15                         All the President's Men      (1976)  138 min   7.9  84          112,761          $70.60M
16                                       Malcolm X      (1992)  202 min   7.7  73           92,908          $48.17M
17                                        The Fall      (2006)  117 min   7.8  64          111,237           $2.28M
18                                      Awakenings      (1990)  121 min   7.8  74          137,062          $52.10M
19                                Harold and Maude      (1971)   91 min   7.9  62           76,333                -
20                      How to Train Your Dragon 2      (2014)  102 min   7.8  77          325,784         $177.00M
21                               Kramer vs. Kramer      (1979)  105 min   7.8  77          142,694         $106.26M
22                             Glengarry Glen Ross      (1992)  100 min   7.7  82          103,278          $10.73M
23                                             Ray  (I) (2004)  152 min   7.7  73          145,692          $75.33M
24                                          Patton      (1970)  172 min   8.0  91          100,715          $61.70M
25                             The Grapes of Wrath      (1940)  129 min   8.1  96           91,159           $0.06M
26                                     Being There      (1979)  130 min   8.0  83           71,411          $30.18M
27                                    Hotel Rwanda      (2004)  121 min   8.1  79          349,900          $23.53M
28                                    Paddington 2      (2017)  103 min   7.8  88           72,458          $40.44M
29                                             Ran      (1985)  162 min   8.2  96          122,732           $4.14M
30                                     Wolfwalkers      (2020)  103 min   8.0  87           29,819                -
31                                           Ponyo      (2008)  101 min   7.6  86          138,683          $15.09M
32                                  The Best Offer      (2013)  131 min   7.8  49          116,623           $0.09M
33                        Night of the Living Dead      (1968)   96 min   7.8  89          125,367           $0.09M
34                                    Paris, Texas      (1984)  145 min   8.1  78          103,143           $2.18M
35                  The Nightmare Before Christmas      (1993)   76 min   8.0  82          325,439          $75.08M
36                                         Ed Wood      (1994)  127 min   7.9  70          173,581           $5.89M
37                             All About My Mother      (1999)  101 min   7.8  87           95,197           $8.26M
38                                   The Searchers      (1956)  119 min   7.9  94           87,549                -
39                                  Cool Hand Luke      (1967)  127 min   8.1  92          173,884          $16.22M
40                                         Rebecca      (1940)  130 min   8.1  86          134,483           $4.36M
41                                  The Iron Giant      (1999)   86 min   8.1  85          186,489          $23.16M
42                       The Last King of Scotland      (2006)  123 min   7.7  74          183,997          $17.61M
43                             Blood In, Blood Out      (1993)  180 min   7.9  47           30,845           $4.50M
44                 Star Trek II: The Wrath of Khan      (1982)  113 min   7.7  67          119,115          $78.91M
45                                    My Left Foot      (1989)  103 min   7.9  97           73,063          $14.74M
46                                      Paper Moon      (1973)  102 min   8.1  77           46,551          $30.93M
47                          The Remains of the Day      (1993)  134 min   7.8  86           72,536          $22.95M
48                              Dancer in the Dark      (2000)  140 min   8.0  61          108,183           $4.18M
49  The Naked Gun: From the Files of Police Squad!      (1988)   85 min   7.6  76          165,000          $78.76M                                 movie          year  timeMin  imdb   metascore    votes us_grossMillions
0                              Paprika        (2006)   90 min   7.7  81           80,125           $0.88M
1                        Battle Royale        (2000)  114 min   7.6  81          180,045                -
2                Rebel Without a Cause        (1955)  111 min   7.7  89           89,081                -
3                             21 Grams        (2003)  124 min   7.7  70          233,964          $16.29M
4                      The Dirty Dozen        (1967)  150 min   7.7  73           71,691          $45.30M
5     What Ever Happened to Baby Jane?        (1962)  134 min   8.0  75           54,685           $4.05M
6                       The Wild Bunch        (1969)  135 min   7.9  97           83,337          $12.06M
7                           Detachment        (2011)   98 min   7.7  52           83,435           $0.07M
8                     Dawn of the Dead        (1978)  127 min   7.9  71          118,401           $5.10M
9                            Hara-Kiri        (1962)  133 min   8.6  85           53,236              #47
10                       Amores perros        (2000)  154 min   8.1  83          236,502           $5.38M
11                              Clerks        (1994)   92 min   7.7  70          219,308           $3.15M
12                           Searching  (III) (2018)  102 min   7.6  71          158,322          $26.02M
13                              Harvey        (1950)  104 min   7.9           0   55,112                -
14                    Double Indemnity        (1944)  107 min   8.3  95          153,648           $5.72M
15                     Out of the Past        (1947)   97 min   8.0           0   36,358                -
16                             Persona        (1966)   83 min   8.1  86          114,865             #241
17                      Paths of Glory        (1957)   88 min   8.4  90          192,386              #61
18                              Mother        (2009)  129 min   7.8  79           61,588           $0.55M
19                              Dangal        (2016)  161 min   8.4           0  180,876          $12.39M
20                             Solaris        (1972)  167 min   8.0  90           89,268                -
21                     Mysterious Skin        (2004)  105 min   7.6  73           68,778           $0.70M
22              The Outlaw Josey Wales        (1976)  135 min   7.8  69           72,127          $31.80M
23                   Miller's Crossing        (1990)  115 min   7.7  66          133,512           $5.08M
24                         The Killing        (1956)   84 min   8.0  91           88,226                -
25                                  8½        (1963)  138 min   8.0  91          116,076           $0.05M
26                   The Virgin Spring        (1960)   89 min   8.1           0   28,773           $1.53M
27                                   Z        (1969)  127 min   8.2  86           27,976           $0.08M
28         Witness for the Prosecution        (1957)  116 min   8.4           0  121,328           $8.18M
29                             Charade        (1963)  113 min   7.9  83           75,387          $13.47M
30             Kiki's Delivery Service        (1989)  103 min   7.8  83          139,043                -
31                         After Hours    (I) (1985)   97 min   7.6  90           67,387          $10.60M
32                 Like Stars on Earth        (2007)  165 min   8.4           0  187,409           $1.22M
33                     The Right Stuff        (1983)  193 min   7.8  91           60,543          $21.50M
34                         Barton Fink        (1991)  116 min   7.6  69          119,530           $6.15M
35                   Dial M for Murder        (1954)  105 min   8.2  75          171,613           $0.01M
36                      The Wind Rises        (2013)  126 min   7.8  83           82,615           $5.21M
37  Nausicaä of the Valley of the Wind        (1984)  117 min   8.0  86          165,552           $0.50M
38                      Cinderella Man        (2005)  144 min   8.0  69          184,738          $61.65M
39                   The African Queen        (1951)  105 min   7.7  91           77,587           $0.54M
40       The Bridges of Madison County        (1995)  135 min   7.6  69           79,600          $71.52M
41        Guess Who's Coming to Dinner        (1967)  108 min   7.8  63           44,544          $56.70M
42                               Amour        (2012)  127 min   7.9  94           98,699           $6.74M
43                               Klaus        (2019)   96 min   8.2  65          140,386             #200
44                       The Third Man        (1949)   93 min   8.1  97          168,869           $0.45M
45                  Breaking the Waves        (1996)  159 min   7.8  76           65,957           $4.04M
46                  The Maltese Falcon        (1941)  100 min   8.0  97          156,223           $2.11M
47                          The Raid 2        (2014)  150 min   7.9  71          121,243           $2.63M
48                           Happiness        (1998)  134 min   7.7  81           69,532           $2.81M
49                                Togo        (2019)  113 min   8.0  69           46,442                -                                             movie        year  timeMin  imdb   metascore    votes us_grossMillions
0                             Pink Floyd: The Wall      (1982)   95 min   8.0  47           79,931          $22.24M
1                                             Hero      (2002)  120 min   7.9  85          179,709          $53.71M
2                                          Tumbbad      (2018)  104 min   8.3           0   41,042                -
3                                      Talk to Her      (2002)  112 min   7.9  86          111,040           $9.28M
4                   Me and Earl and the Dying Girl      (2015)  105 min   7.7  74          129,682           $6.74M
5                                         Rashomon      (1950)   88 min   8.2  98          164,739           $0.10M
6                               The Straight Story      (1999)  112 min   8.0  86           88,959           $6.20M
7                                            Mommy  (I) (2014)  139 min   8.0  74           55,686           $3.49M
8                                    Belle de Jour      (1967)  100 min   7.7           0   43,623           $0.03M
9                                Castle in the Sky      (1986)  125 min   8.0  78          162,228                -
10                                      Black Book      (2006)  145 min   7.7  71           76,155           $4.40M
11                                     Shoplifters      (2018)  121 min   7.9  93           73,204           $3.31M
12                                   The Quiet Man      (1952)  129 min   7.7  85           38,085          $10.55M
13                         The Night of the Hunter      (1955)   92 min   8.0  99           87,794           $0.65M
14                                  Days of Heaven      (1978)   94 min   7.8  93           57,146                -
15                               Finding Neverland      (2004)  106 min   7.7  67          204,330          $51.68M
16                                        Gaslight      (1944)  114 min   7.8           0   28,032                -
17                              The Great Dictator      (1940)  125 min   8.4           0  219,180           $0.29M
18                                           50/50      (2011)  100 min   7.6  72          326,571          $35.01M
19                                 The Longest Day      (1962)  178 min   7.7  75           55,037          $39.10M
20                                       Rio Bravo      (1959)  141 min   8.0  93           61,183          $12.54M
21                The Man Who Shot Liberty Valance      (1962)  123 min   8.1  94           74,588                -
22                           Letters from Iwo Jima      (2006)  141 min   7.9  89          160,802          $13.76M
23                                  Open Your Eyes      (1997)  119 min   7.7           0   68,532           $0.37M
24                                          Freaks      (1932)   64 min   7.9  80           45,548                -
25                                     The Verdict      (1982)  129 min   7.7  77           39,553          $54.00M
26                           The Day of the Jackal      (1973)  143 min   7.8  80           40,297          $16.06M
27                                   Short Term 12      (2013)   96 min   7.9  82           86,746           $1.01M
28                                       King Kong      (1933)  100 min   7.9  90           84,168          $10.00M
29                                    Sardar Udham      (2021)  164 min   8.8           0   38,530                -
30  Neon Genesis Evangelion: The End of Evangelion      (1997)   87 min   8.1           0   51,495                -
31                   The Day the Earth Stood Still      (1951)   92 min   7.8           0   80,881                -
32                                    Run Lola Run      (1998)   80 min   7.7  77          196,495           $7.27M
33                           Judgment at Nuremberg      (1961)  179 min   8.3  60           75,885             #137
34                                            Rope      (1948)   80 min   8.0  73          140,274                -
35                                A Man Called Ove      (2015)  116 min   7.7  70           53,192           $3.36M
36                                   Roman Holiday      (1953)  118 min   8.0  78          136,123                -
37                                        Badlands      (1973)   94 min   7.8  93           71,671                -
38                              The Lion in Winter      (1968)  134 min   7.9           0   31,135          $22.28M
39                  All Quiet on the Western Front      (1930)  152 min   8.1  91           60,632           $3.27M
40                                   La Dolce Vita      (1960)  174 min   8.0  95           71,717          $19.52M
41                           From Here to Eternity      (1953)  118 min   7.6  85           46,328          $30.50M
42                                 The Celebration      (1998)  105 min   8.1  82           85,569           $1.65M
43                                       25th Hour      (2002)  135 min   7.6  68          176,964          $13.06M
44                                         Yojimbo      (1961)  110 min   8.2  93          120,319             #145
45                               The Station Agent      (2003)   89 min   7.6  81           69,980           $5.74M
46                                  Loving Vincent      (2017)   94 min   7.8  62           56,517           $6.74M
47                                    Modern Times      (1936)   87 min   8.5  96          236,086           $0.16M
48                                 Wings of Desire      (1987)  128 min   8.0  79           69,724           $3.33M
49                                    Mary and Max      (2009)   92 min   8.1           0  174,325             #205                                    movie        year  timeMin  imdb    metascore    votes us_grossMillions
0                                    Once  (I) (2007)   86 min   7.8   88          115,421           $9.44M
1      South Park: Bigger, Longer & Uncut      (1999)   81 min   7.7   73          201,764          $52.04M
2                           Andrei Rublev      (1966)  205 min   8.1            0   52,694           $0.10M
3                               Philomena      (2013)   98 min   7.6   77           99,034          $37.71M
4                     Fanny and Alexander      (1982)  188 min   8.1  100           62,965           $4.97M
